PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
1,0,2,female,59.2,0,1,72.3,S
2,1,3,female,20.5,0,0,3.33,S
3,0,3,male,39.4,0,0,4.71,S
4,1,3,female,33.2,0,0,4.71,S
5,0,1,male,47.2,3,1,22.0,S
6,1,1,male,,1,0,0.12,S
7,1,1,female,29.4,0,1,109.78,S
8,0,3,male,18.5,0,0,44.29,S
9,0,3,male,35.4,0,1,3.3,S
10,0,3,male,19.5,1,0,14.14,C
11,1,1,male,57.2,0,0,113.77,S
12,0,3,male,30.9,1,0,24.53,S
13,1,3,male,23.9,0,1,7.14,Q
14,0,1,male,31.6,0,0,30.31,Q
15,1,1,female,10.1,2,0,33.05,S
16,1,1,female,,0,0,104.74,S
17,0,2,male,,0,1,33.94,C
18,0,3,male,19.8,1,0,2.61,C
19,0,2,male,14.3,0,0,9.27,Q
20,0,2,male,,0,1,46.44,C
21,0,3,male,45.6,0,0,21.37,S
22,0,1,male,39.1,0,0,351.99,S
23,1,2,male,,1,0,28.07,S
24,0,2,male,18.4,0,1,9.99,S
25,0,3,male,9.1,2,1,11.61,S
26,0,3,male,50.0,0,1,14.06,S
27,1,1,female,24.5,0,0,6.86,S
28,0,3,female,25.5,1,0,10.22,C
29,0,3,male,47.6,2,0,16.06,S
30,1,1,female,36.8,0,2,15.38,S
31,0,3,male,35.4,0,0,19.72,S
32,1,1,female,59.3,0,0,73.63,S
33,1,1,female,,0,1,255.46,C
34,0,3,male,42.0,2,0,0.56,S
35,0,3,male,29.8,1,0,4.01,Q
36,0,3,male,,0,0,11.96,S
37,0,2,male,50.4,0,0,7.04,S
38,0,1,male,36.1,1,0,105.27,S
39,0,3,male,36.5,1,0,18.5,S
40,0,2,male,44.0,0,1,2.16,C
41,1,1,female,23.9,0,0,60.58,S
42,1,3,female,17.3,0,0,9.24,C
43,0,1,male,14.4,2,1,38.72,S
44,0,3,male,1.5,0,0,35.13,C
45,0,2,male,57.8,0,0,35.15,S
46,0,3,male,,0,0,15.53,C
47,1,2,female,25.9,0,0,25.06,S
48,0,3,male,25.1,0,2,8.05,S
49,0,3,male,33.3,1,0,33.0,S
50,1,1,male,,0,1,99.63,Q
51,0,3,male,41.0,0,1,16.97,S
52,1,3,female,20.8,0,2,25.72,S
53,0,3,female,26.7,0,1,4.16,C
54,1,3,male,33.0,1,1,21.39,S
